Adm_Year,Gender,Age,HSC_Pass_Year,Program,Merit_Scholarship,Uni_Transport,Learn_Mode,Smartphone,PC,Eng_Proficiency,Probation,Suspension,Do you attend in teacher consultancy for any kind of academical problems? ,Relationship,CoCurricular,Living_Arrangement,Health_Issues,Physical_Disabilities,Target,Curr_Sem1,Study_Hours1,Study_Sessions1,SM_Hours1,Avg_Attendance1,Skills1,Skill_Dev_Hours1,Interest_Area1,Prev_SGPA1,Curr_CGPA1,Completed_Credits1,Diploma,Family_Income1
2021,Male,21,2020,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,Yes,No,Poor,4,1,1,6,100,Programming,20,Software,2.83,3.05,35,FALSE,20000
2021,Male,21,2019,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,Yes,No,No,Single,Yes,Family,No,No,Poor,4,3.5,2,4,95,"Programming, Software Development",1,Networking,2.2,2.2,30,FALSE,25000
2019,Male,23,2018,BCSE,No,Yes,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Family,No,No,Poor,11,6,2,6,98,"Programming, Web development",3,Machine Learning / Deep Learning,3.2,3.22,110,FALSE,50000
2019,Male,26,2014,BCSE,No,No,Offline,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Bachelor,No,No,Poor,10,4,2,1,70,"Programming, Web development",2,Data Science,2.81,3.2,104,FALSE,12000
2022,Male,20,2020,BCSE,No,No,Offline,No,Yes,Basic,No,No,No,Single,Yes,Bachelor,No,No,Good,2,5,2,2,100,Programming,5,Software,3.48,3.48,11,FALSE,20000
2022,Female,20,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,Yes,No,Poor,2,5.5,1,6,90,Programming,4,Networking,4,3.39,11,FALSE,50000
2022,Male,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,Yes,No,No,Single,No,Family,No,No,Poor,1,2,7,6,100,"Web development skill(Backend),",4,Data Science,4,4,14,FALSE,20000
2019,Male,23,2017,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Poor,9,4,2,6,90,"Programming, Web development",1,Machine Learning / Deep Learning,3.7,3.5,89,FALSE,50000
2022,Female,21,2019,BCSE,Yes,Yes,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Family,No,No,Poor,2,4,3,5,90,Software Development skill,3,Software,3.68,0,11,FALSE,25000
2022,Male,21,2020,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,No,Single,No,Bachelor,No,No,Good,2022,5,2,2,95,Programming,2,Software,3.3,3.3,11,FALSE,50000
